ID,Name,Origin,Description,Attack,Magical Force,Magical Defence,Defence,Intelligence,Health,Experience
0,Á Bao A Qu,Malay,Entity that lives in the Tower of Victory in Chitor.,4,9,13,15,15,4,8
1,Aatxe,Basque,Spirit that takes the form of a bull.,9,17,16,13,12,8,22
2,Abaasy,Yakuts,Demons that have teeth of iron.,24,21,15,16,26,14,5
3,Abada,African,Small type of unicorn reported to live in the lands of the African Congo.,20,29,26,18,16,4,2
4,Äbädä,Tatar,Forest spirit.,6,28,23,25,16,28,4
5,Abaia,Melanesia,Huge magical eel.,25,30,18,4,17,25,17
6,Abarimon,Medieval Bestiaries,Savage humanoid with backward feet.,10,12,3,20,22,3,16
7,Abura-sumashi,Japanese,Creature from a mountain pass in Kumamoto Prefecture.,17,20,6,8,11,9,0
8,Acephali,Greek,Headless humanoids.,10,22,27,20,18,5,20
9,Achlis,Roman,Curious elk.,28,25,24,28,7,18,1
10,Adar Llwch Gwin,Welsh,Giant birds that understand human languages.,28,8,17,23,21,24,3
11,Adaro,Solomon Islands,Malevolent merfolk.,9,13,21,4,19,23,10
12,Adhene,Manx,Nature spirit.,29,17,21,18,14,8,22
13,Adroanzi,Lugbara,Nature spirit.,24,28,28,8,12,28,13
14,Aerico,Greek,Disease demon.,20,21,3,15,26,6,22
15,Agni,Hindu,God of fire and sacrifices.,16,9,18,20,22,27,24
16,Agathodaemon,Greek,Spirit of vinefields and grainfields.,15,18,8,19,28,18,14
17,Agloolik,Inuit,Ice spirit that aids hunters and fishermen.,12,10,23,5,16,11,14
18,Ahkiyyini,Inuit,Animated skeleton that causes shipwrecks.,18,26,17,29,11,21,21
19,Ahlden Gentree,Philippines,Demon with enormous jaw.,17,19,16,6,23,24,30
20,Aigamuxa,Khoikhoi,Anthropophagous humanoid with eyes in its instep.,19,22,23,24,24,22,16
21,Airavata,Hindu,Divine Elephant.,24,25,6,6,5,9,0
22,Aitu,Polynesian,Malevolent spirits or demons.,17,19,27,6,30,24,22
23,Aitvaras,Lithuanian,Household spirit.,4,3,20,10,12,4,5
24,Ajatar,Finnish,Dragon.,5,13,13,30,9,17,26
25,Akka,Finnish,Female spirits or minor goddesses.,18,18,19,4,16,4,29
26,Akki,Japanese,Large; grotesque humanoid.,13,4,18,18,24,11,25
27,Akkorokamui,Ainu,Sea monster.,13,26,24,6,15,11,18
28,Akuma,Japanese,Evil spirit.,27,11,29,22,15,29,12
29,Akupara,Hindu,Giant turtle that supports the world.,11,7,26,21,25,29,30
30,Al,Armenian and Persian,Spirit that steals unborn babies and livers from pregnant women.,8,15,16,13,4,16,17
31,Ala,Slavic,Bad weather demon.,5,29,28,21,24,22,13
32,Alal,Chaldean,queen of the full moon.,6,20,21,13,22,3,3
33,Alan,Philippine,Winged humanoid that steals reproductive waste to make children.,12,13,27,17,7,3,11
34,Alce,Heraldic,Wingless griffin.,5,24,30,6,24,9,8
35,Aleya,Bengali,Spirit of a dead fisherman.,19,14,30,26,4,6,16
36,Alicanto,Chilean,Bird that eats gold and silver.,20,13,22,8,24,30,20
37,Alkonost,Slavic,Angelic bird with human head and breasts.,14,15,5,26,18,30,11
38,Almas,Mongolian,Savage humanoid.,6,18,5,12,16,6,20
39,Aloja,Catalan,Female water spirit.,26,25,7,4,10,19,18
40,Al Rakim,Islamic,Guard dog of the Seven Sleepers.,6,11,29,10,29,25,28
41,Alseid,Greek,Grove nymph.,24,28,15,26,6,20,23
42,Alû,Assyrian,Leprous demon.,12,19,28,18,30,19,0
43,Alux,Mayan,Little people.,21,8,10,29,9,24,21
